2023.31.05 15:05:36.8231662023.31.05 15:05:36.823166; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]

2023.31.05 15:05:36.9817122023.31.05 15:05:36.981712; AzdkServerCommands; SET_CONN_NAME [id=4], AzdkOdsTestApp sent

2023.31.05 15:05:37.1822082023.31.05 15:05:37.182208; AzdkServerCommands; SET_CONN_NAME [id=4] answered

2023.31.05 15:05:37.3208082023.31.05 15:05:37.320808; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]

2023.31.05 15:05:37.4723042023.31.05 15:05:37.472304; PDSServerCommands; SET_CONN_NAME [id=5], AzdkOdsTestApp sent

2023.31.05 15:05:37.7026882023.31.05 15:05:37.702688; PDSServerCommands; SET_CONN_NAME [id=5] answered

2023.31.05 15:05:37.8213702023.31.05 15:05:37.821370; PDSServerCommands; angle [id=2], {  0.000000,   0.000000,   0.000000} sent

2023.31.05 15:05:37.8223702023.31.05 15:05:37.821370; AzdkServerCommands; n1 [id=1], azdk2309.test1, 7 sent

2023.31.05 15:05:37.9280842023.31.05 15:05:37.928084; PDSServerCommands; angle [id=2], 2023-05-31 15:05:38.602000 answered

2023.31.05 15:05:37.9280842023.31.05 15:05:37.928084; PDSServerCommands; n3 [id=3], { 0.500000,  0.500000,  0.500000,  0.500000} sent

2023.31.05 15:05:37.9310772023.31.05 15:05:37.931077; AzdkServerCommands; DEVICE_CMD [id=6], 49 sent

2023.31.05 15:05:38.0338022023.31.05 15:05:38.033802; PDSServerCommands; n3 [id=3], 2023-05-31 15:05:38.708000 answered

2023.31.05 15:05:38.1865812023.31.05 15:05:38.186581; AzdkServerCommands; DEVICE_CMD [id=6], 49 answered

2023.31.05 15:05:38.1945592023.31.05 15:05:38.194559; AzdkServerCommands; request time: 0.38300629996228963

2023.31.05 15:05:38.1945592023.31.05 15:05:38.194559; AzdkCommand; Id=0, Code=49, b''

2023.31.05 15:05:38.1995462023.31.05 15:05:38.199546; AzdkServerCommands; DEVICE_CMD [id=7], 7, 1, 1, 1 sent

2023.31.05 15:05:38.3069062023.31.05 15:05:38.305909; AzdkServerCommands; DEVICE_CMD [id=7], 7 answered

2023.31.05 15:05:38.3148852023.31.05 15:05:38.314885; AzdkServerCommands; request time: 0.12006240000482649

2023.31.05 15:05:38.3148852023.31.05 15:05:38.314885; AzdkCommand; Id=1, Code=7 [1, 1, 1], b''

2023.31.05 15:05:38.3258562023.31.05 15:05:38.325856; AzdkServerCommands; DEVICE_CMD [id=8], 7, 0, 0, 0 sent

2023.31.05 15:05:38.5831672023.31.05 15:05:38.583167; AzdkServerCommands; DEVICE_CMD [id=8], 7 answered

2023.31.05 15:05:38.5891522023.31.05 15:05:38.589152; AzdkServerCommands; request time: 0.27389189996756613

2023.31.05 15:05:38.5891522023.31.05 15:05:38.589152; AzdkCommand; Id=2, Code=7 [0, 0, 0], b''

2023.31.05 15:05:38.6051092023.31.05 15:05:38.605109; AzdkServerCommands; DEVICE_CMD [id=9], 48 sent

2023.31.05 15:05:38.8734202023.31.05 15:05:38.873420; AzdkServerCommands; DEVICE_CMD [id=9], 48 answered

2023.31.05 15:05:38.8743892023.31.05 15:05:38.874389; AzdkServerCommands; request time: 0.284739299910143

2023.31.05 15:05:38.8743892023.31.05 15:05:38.874389; AzdkCommand; Id=3, Code=48, b''

2023.31.05 15:05:38.8913432023.31.05 15:05:38.891343; AzdkServerCommands; DEVICE_CMD [id=10], 18 sent

2023.31.05 15:05:39.0146832023.31.05 15:05:39.014683; AzdkServerCommands; DEVICE_CMD [id=10], 18, 00 00 00 00 00 00 00 00 00 00 00 00 32 62 e6 04 93 00 e7 07 answered

2023.31.05 15:05:39.0156792023.31.05 15:05:39.015679; AzdkServerCommands; request time: 0.14080479997210205

2023.31.05 15:05:39.0166472023.31.05 15:05:39.015679; AzdkCommand; Id=4, Code=18, answer=00 00 00 00 00 00 00 00 00 00 00 00 32 62 E6 04 93 00 E7 07

2023.31.05 15:05:39.0178812023.31.05 15:05:39.017644; PDSServerCommands; socket was closed

2023.31.05 15:05:39.0333372023.31.05 15:05:39.033337; AzdkServerCommands; socket was closed

